epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1175,1.66342,2.96018,1.6101,0.00815,0.61008,0.03046,0.0081,2.23491,3.96442,2.19859,0.00017,0.00017,0.08317
2,19.3071,1.62016,2.5074,1.55975,0.00695,0.80681,0.15842,0.06019,1.7831,3.33122,1.66384,0.000349866,0.000349866,0.0653499
3,28.6602,1.61784,2.19752,1.57719,0.59821,0.25719,0.3314,0.14538,1.64854,2.7984,1.45643,0.000529191,0.000529191,0.0475292
4,37.5484,1.64751,2.08052,1.60034,0.47106,0.49823,0.40656,0.19707,1.69261,2.26443,1.48469,0.000707564,0.000707564,0.0297076
5,46.9328,1.6592,2.06709,1.59341,0.63536,0.4406,0.47195,0.23175,1.70396,2.15189,1.4919,0.000884576,0.000884576,0.0118846
6,56.108,1.71995,1.94745,1.63537,0.62095,0.49067,0.52428,0.24208,1.61138,2.07078,1.42991,0.000990489,0.000990489,0.000990489
7,64.6886,1.67332,1.91108,1.62531,0.6912,0.50002,0.55052,0.24996,1.67662,2.085,1.48491,0.000986323,0.000986323,0.000986323
8,73.1078,1.58562,1.81828,1.53429,0.62298,0.51569,0.56584,0.25834,1.66609,2.01941,1.48211,0.000981415,0.000981415,0.000981415
9,81.7411,1.5592,1.77741,1.5461,0.4822,0.57617,0.56724,0.2782,1.60484,1.85435,1.45145,0.000975773,0.000975773,0.000975773
10,90.5764,1.59967,1.793,1.54574,0.66192,0.5504,0.56795,0.25376,1.64633,1.9445,1.47817,0.000969405,0.000969405,0.000969405
11,99.2607,1.56654,1.74041,1.53076,0.65015,0.50138,0.56182,0.26399,1.68117,1.91644,1.51777,0.00096232,0.00096232,0.00096232
12,108.125,1.59646,1.78021,1.58865,0.62014,0.57032,0.56382,0.26532,1.66841,1.85082,1.50489,0.000954531,0.000954531,0.000954531
13,117.068,1.59613,1.71073,1.57953,0.67222,0.62268,0.62871,0.28833,1.75053,1.78708,1.56264,0.000946048,0.000946048,0.000946048
14,126.958,1.57841,1.73459,1.57203,0.6188,0.4784,0.49798,0.26979,1.70537,2.27448,1.57762,0.000936886,0.000936886,0.000936886
15,135.506,1.54428,1.67482,1.56318,0.56374,0.64014,0.54418,0.29802,1.68701,1.85223,1.55021,0.000927057,0.000927057,0.000927057
16,144.058,1.55521,1.66303,1.5331,0.78062,0.6166,0.65621,0.32549,1.66208,1.63583,1.50138,0.000916577,0.000916577,0.000916577
17,152.482,1.55429,1.62408,1.52941,0.67405,0.70656,0.66665,0.33141,1.60887,1.54948,1.48581,0.000905463,0.000905463,0.000905463
18,160.997,1.61448,1.64724,1.5415,0.71315,0.70587,0.68024,0.36135,1.53367,1.57554,1.43377,0.000893732,0.000893732,0.000893732
19,169.568,1.56107,1.66627,1.52425,0.68679,0.67882,0.68027,0.35887,1.56492,1.50508,1.43191,0.000881401,0.000881401,0.000881401
20,178.403,1.53006,1.6485,1.55298,0.66577,0.65334,0.67231,0.34444,1.61817,1.47836,1.42807,0.00086849,0.00086849,0.00086849
21,187.051,1.51514,1.60268,1.51627,0.71782,0.64581,0.66133,0.35954,1.50434,1.47114,1.37973,0.000855018,0.000855018,0.000855018
22,195.253,1.49923,1.60692,1.52173,0.75384,0.55836,0.64504,0.32571,1.62471,1.62471,1.45769,0.000841006,0.000841006,0.000841006
23,203.654,1.50707,1.58287,1.5093,0.78278,0.5714,0.64389,0.32401,1.70221,1.71813,1.49489,0.000826477,0.000826477,0.000826477
24,211.614,1.4776,1.62606,1.50687,0.78266,0.64014,0.67305,0.34824,1.57932,1.76144,1.42077,0.000811452,0.000811452,0.000811452
25,219.824,1.43995,1.58877,1.49447,0.78534,0.55858,0.67266,0.35361,1.51675,1.65543,1.40345,0.000795954,0.000795954,0.000795954
26,227.9,1.48564,1.55569,1.4791,0.70466,0.65738,0.65508,0.33809,1.49707,1.56376,1.38963,0.000780007,0.000780007,0.000780007
27,236.753,1.43262,1.48301,1.46482,0.67928,0.666,0.661,0.33311,1.61931,1.55397,1.44533,0.000763637,0.000763637,0.000763637
28,245.245,1.45182,1.50786,1.466,0.76921,0.62312,0.67425,0.3195,1.74715,1.55772,1.49682,0.000746868,0.000746868,0.000746868
29,253.896,1.44462,1.49194,1.4549,0.86276,0.61892,0.67955,0.31432,1.70351,1.54188,1.46028,0.000729725,0.000729725,0.000729725
30,262.121,1.50022,1.45132,1.49758,0.87583,0.62085,0.68869,0.34143,1.55094,1.4495,1.39611,0.000712237,0.000712237,0.000712237
31,270.188,1.4586,1.45747,1.45125,0.83155,0.6103,0.67201,0.31466,1.65243,1.48815,1.44019,0.000694428,0.000694428,0.000694428
32,278.261,1.43979,1.4109,1.4404,0.81819,0.61499,0.68769,0.31727,1.63647,1.45289,1.43188,0.000676328,0.000676328,0.000676328
33,286.552,1.386,1.39242,1.42915,0.92161,0.62707,0.71934,0.36314,1.60374,1.41873,1.41141,0.000657963,0.000657963,0.000657963
34,295.338,1.49729,1.50755,1.47717,0.86844,0.63255,0.73289,0.37419,1.57504,1.41285,1.38147,0.000639363,0.000639363,0.000639363
35,303.409,1.45506,1.45634,1.45713,0.81076,0.65124,0.72468,0.38889,1.5562,1.38205,1.35865,0.000620555,0.000620555,0.000620555
36,311.809,1.39155,1.35005,1.43041,0.87288,0.64876,0.72677,0.40082,1.49807,1.39346,1.32384,0.00060157,0.00060157,0.00060157
37,320.205,1.47418,1.43248,1.4769,0.7939,0.66557,0.72474,0.38735,1.47381,1.46569,1.31817,0.000582435,0.000582435,0.000582435
38,328.608,1.44166,1.41328,1.43151,0.8808,0.60588,0.70259,0.37142,1.5839,1.48714,1.37123,0.000563181,0.000563181,0.000563181
39,336.852,1.38351,1.38533,1.41702,0.78647,0.6145,0.6747,0.34957,1.68684,1.49189,1.44394,0.000543837,0.000543837,0.000543837
40,345.099,1.4583,1.45471,1.44801,0.76788,0.58107,0.65286,0.33686,1.70045,1.48417,1.44179,0.000524434,0.000524434,0.000524434
41,353.393,1.39278,1.36272,1.40871,0.86204,0.58886,0.66952,0.34161,1.63041,1.427,1.39936,0.000505,0.000505,0.000505
42,362.193,1.39797,1.36026,1.42069,0.84551,0.60168,0.67477,0.35322,1.54915,1.40349,1.3497,0.000485566,0.000485566,0.000485566
43,371.036,1.39066,1.35331,1.40731,0.88582,0.58793,0.67638,0.34813,1.55982,1.41932,1.36017,0.000466163,0.000466163,0.000466163
44,380.113,1.35696,1.33374,1.38706,0.8688,0.61173,0.68074,0.33972,1.61737,1.44891,1.38074,0.000446819,0.000446819,0.000446819
45,389.209,1.41445,1.28511,1.39093,0.86444,0.61049,0.70061,0.36329,1.59716,1.40179,1.36704,0.000427565,0.000427565,0.000427565
46,397.824,1.37458,1.31105,1.39264,0.92883,0.58024,0.717,0.39935,1.44989,1.30093,1.30316,0.00040843,0.00040843,0.00040843
47,406.746,1.37453,1.40228,1.40377,0.92993,0.58024,0.72794,0.41738,1.4144,1.26743,1.29334,0.000389445,0.000389445,0.000389445
48,415.566,1.38214,1.30569,1.39311,0.75545,0.6744,0.74446,0.41107,1.42807,1.24672,1.29956,0.000370637,0.000370637,0.000370637
49,424.155,1.41518,1.37234,1.43319,0.83591,0.64876,0.74772,0.3843,1.53542,1.2785,1.34604,0.000352037,0.000352037,0.000352037
50,432.211,1.33075,1.28046,1.36022,0.81671,0.61008,0.71154,0.36179,1.58761,1.31752,1.36748,0.000333672,0.000333672,0.000333672
51,440.541,1.36028,1.31882,1.42598,0.80147,0.6187,0.70573,0.37888,1.53447,1.28303,1.34504,0.000315572,0.000315572,0.000315572
52,449.014,1.3435,1.25932,1.36017,0.68693,0.69164,0.69582,0.38606,1.51537,1.25223,1.33964,0.000297763,0.000297763,0.000297763
53,457.221,1.32894,1.24784,1.38318,0.69648,0.66738,0.70125,0.40004,1.4937,1.24753,1.33277,0.000280275,0.000280275,0.000280275
54,465.564,1.3147,1.23552,1.3732,0.73339,0.69164,0.7182,0.39686,1.50992,1.25175,1.33891,0.000263132,0.000263132,0.000263132
55,474.106,1.32976,1.25395,1.38428,0.71289,0.68908,0.71233,0.39559,1.5437,1.25584,1.35672,0.000246363,0.000246363,0.000246363
56,483.015,1.31957,1.19312,1.34418,0.80424,0.64014,0.71603,0.39214,1.56308,1.25958,1.3645,0.000229993,0.000229993,0.000229993
57,491.311,1.32365,1.22237,1.37061,0.73883,0.73335,0.73344,0.39453,1.57522,1.24713,1.36616,0.000214046,0.000214046,0.000214046
58,499.977,1.27655,1.19207,1.35513,0.78005,0.69051,0.7333,0.39422,1.55139,1.23791,1.33644,0.000198548,0.000198548,0.000198548
59,508.146,1.24074,1.12163,1.31888,0.74953,0.68481,0.73379,0.39827,1.53072,1.21057,1.32792,0.000183523,0.000183523,0.000183523
60,516.854,1.34002,1.20309,1.37341,0.77733,0.65393,0.73467,0.39945,1.5449,1.20074,1.34091,0.000168994,0.000168994,0.000168994
61,525.177,1.29251,1.21998,1.36234,0.82451,0.64565,0.75244,0.40317,1.53174,1.19294,1.33397,0.000154982,0.000154982,0.000154982
62,533.65,1.29012,1.17545,1.34192,0.786,0.69822,0.75599,0.39993,1.51904,1.21127,1.32175,0.00014151,0.00014151,0.00014151
63,541.978,1.27278,1.17986,1.34769,0.80221,0.69722,0.75784,0.41156,1.50695,1.21589,1.31227,0.000128599,0.000128599,0.000128599
64,550.062,1.27693,1.17016,1.37016,0.86556,0.68224,0.76205,0.41395,1.48077,1.20607,1.29669,0.000116268,0.000116268,0.000116268
65,558.266,1.35256,1.27113,1.37604,0.84916,0.68722,0.75626,0.41859,1.46367,1.2057,1.29004,0.000104537,0.000104537,0.000104537
66,566.785,1.23627,1.17659,1.32883,0.83723,0.70094,0.74762,0.42728,1.46702,1.21225,1.28935,9.34225e-05,9.34225e-05,9.34225e-05
67,574.825,1.20711,1.0828,1.27384,0.87309,0.6786,0.75205,0.42929,1.47169,1.2139,1.29403,8.29431e-05,8.29431e-05,8.29431e-05
68,582.768,1.27616,1.19436,1.32205,0.87651,0.6786,0.74866,0.43134,1.4694,1.20928,1.29141,7.31145e-05,7.31145e-05,7.31145e-05
69,591.263,1.21307,1.1192,1.30464,0.83541,0.70218,0.75069,0.43475,1.4578,1.20963,1.28612,6.39518e-05,6.39518e-05,6.39518e-05
70,599.353,1.25909,1.15394,1.33518,0.83087,0.68898,0.7543,0.43322,1.46379,1.20671,1.28757,5.54691e-05,5.54691e-05,5.54691e-05
71,608.135,1.07815,1.01146,1.21208,0.82304,0.69902,0.75612,0.43539,1.44784,1.19437,1.27838,4.76796e-05,4.76796e-05,4.76796e-05
72,617.266,1.11601,1.02089,1.21413,0.8808,0.65265,0.75139,0.43328,1.44651,1.20446,1.27714,4.05953e-05,4.05953e-05,4.05953e-05
73,625.62,1.08204,0.97971,1.19923,0.88629,0.65557,0.74927,0.43531,1.45024,1.215,1.27814,3.4227e-05,3.4227e-05,3.4227e-05
74,634.224,1.11437,1.00712,1.20007,0.87543,0.66614,0.74439,0.43207,1.44252,1.22493,1.27045,2.85847e-05,2.85847e-05,2.85847e-05
75,643.007,1.07593,0.97039,1.17909,0.85622,0.66136,0.74216,0.4347,1.44068,1.22895,1.2698,2.36769e-05,2.36769e-05,2.36769e-05
76,651.8,1.05813,0.94078,1.17139,0.85713,0.66637,0.73823,0.43474,1.43794,1.22817,1.26613,1.95113e-05,1.95113e-05,1.95113e-05
77,660.454,1.05228,0.95488,1.17334,0.86514,0.67562,0.75064,0.43164,1.43362,1.23461,1.2692,1.60943e-05,1.60943e-05,1.60943e-05
